@relation cleartk-generated

@attribute CON-LStr {'','18 months after','25 years after','29 years and 11 months to the day after','a day after','a day or two before','a decade before','a few months after','a few weeks after','a full five minutes before','a month after','a week after','a week before','a year after','about a week after','about six months before','about three weeks after',accordingly,additionally,after,afterward,afterwards,'almost immediately after','almost simultaneously',also,alternatively,although,'an average of six months before',and,'apparently because',as,'as a result','as an alternative','as if','as long as','as much as','as soon as','as though','as well','at least not when','at least partly because','at least until','at least when','back when',because,before,'before and after',besides,but,'by comparison','by contrast','by then',consequently,conversely,earlier,'eight months after','either exonerating the vatican bank from blame in the scandal, or','either he wasn\'t being real in the past, or',else,'especially as','especially if','especially since','especially when','even after','even as','even before','even if','even still','even then','even though','even when','even while','ever since',except,'except when',finally,'five minutes before','five years after',for,'for example','for instance','four days after','fully eight months before',further,furthermore,hence,however,if,'if a manufacturer is clearly trying to get something out of it . . . if it\'s too transparent . . . then','if america can keep up the present situation -- her markets open for another 15 years, with adjustments, and japan can grow and not cut back, and so too, korea, taiwan, hong kong, singapore, asean, australia and new zealand -- then','if and when','if apartheid means you want cheap black labor and all the comforts that go with it, but you also want to exclude the blacks from social and political integration, then','if conservatives don\'t support an increase in the imf\'s capital, then','if for any reason i don\'t have the values, then','if i am catching your attention, then','if i could ever feel i\'ve contributed to it in some way, then','if it is worse then','if it\'s too transparent . . . then','if mutation and natural selection slowly but surely give rise to more and more advanced forms of life, then','if only','if that doesn\'t happen, then','if that follows through next month, then','if the answers to these questions are affirmative, then','if the economy slips into a recession, then','if the futures markets have a problem, then','if the ldp, as currently composed, can\'t make the transformation, then','if the number is a little better, then','if the stock market tremors are behind us, then','if they don\'t fill it immediately, then','if they\'re telling the truth now, then','if this prompts others to consider the same thing, then','if this version, with its references to steven spielberg, spago and \"thirtysomething\" attracts younger audiences who might stay away from the classical version, then','if those two banks are there, then','if those who have the money don\'t get involved with the museums and the charities, then','if we had been allowed to go ahead then','if we want to have our own nation, then','if we\'re asking for something unreasonable or unethical and so on, then','if we\'ve got folks out there who are being turned away in the mortgage market improperly and unfairly,\" said sen. donald riegle (d., mich.), chairman of the banking committee, \"then','if you can\'t guess why he\'s so sweet to his sister when everybody else hates her, then','if you create a wonderment, if you create something so exciting that the public dreams of being part of it, then','if you create something so exciting that the public dreams of being part of it, then','if you exclude defense-related orders then','if you\'re an individual investing money and trying to get it back again, then','if you\'re in the bond business playing the relative-performance derby, then','immediately after','in addition','in contrast','in fact','in large part because','in other words','in part because','in particular','in short','in sum','in the 3 1/2 years before','in the end','in the first 25 minutes after','in the meantime','in the meanwhile','in turn',indeed,'insofar as',instead,'just 15 days after','just a day after','just after','just as','just as soon as','just because','just before','just days before','just five months after','just minutes after','just until','just when','largely as a result','largely because',later,'later on','less than a month after',lest,likewise,'long after','long before','mainly because',meanwhile,'minutes after','months after','more than a year after',moreover,'much as','nearly a year and a half after','nearly two months after','neither admitting nor','neither man admitted, nor','neither rejected a socialist planned economy nor',nevertheless,next,nonetheless,nor,'not because','not only because','now that','on the contrary','on the other hand',once,'one day after','only after','only as long as','only because','only if','only three years after','only two weeks after','only until','only when',or,otherwise,overall,'particularly as','particularly because','particularly if','particularly since','particularly when','partly because','perhaps because',plus,previously,'primarily because',rather,regardless,'reportedly after','right after',separately,'seven years after','several months before','shortly after','shortly afterward','shortly before','shortly thereafter',similarly,'simply because',simultaneously,since,'since before',so,'so much as','so that','some time after','sometimes after','soon after',specifically,still,then,thereafter,thereby,therefore,though,'three months after',thus,till,'two days after','two days before','two weeks after','two years before','typically, if',ultimately,unless,until,when,'when and if',whereas,while,'within a year after','within minutes after','years after','years before',yet}
@attribute CON-POS {'',false,true}
@attribute selfCat {'',ADJP,ADVP,CONJP,FRAG,NP,NX,PP,PRN,QP,S,SBAR,SBARQ,SINV,SQ,UCP,VP,WHADVP,WHNP}
@attribute selfCatLeftSibling {'','\'\'',',',-LRB-,:,ADJP,ADVP,CC,DT,IN,JJ,JJR,LST,MD,NN,NNS,NP,PP,PRN,PRT,RB,S,SBAR,TO,VB,VBD,VBG,VBN,VBP,VBZ,VP,WHADVP,WHNP,WHPP,WRB,``,null}
@attribute selfCatParent {'',ADJP,ADVP,FRAG,NP,PP,PRN,ROOT,RRC,S,SBAR,SBARQ,SINV,SQ,UCP,VP,WHADJP,X}
@attribute selfCatRightSibling {'','\'\'',',',-RRB-,.,:,ADJP,ADVP,CC,FRAG,IN,NNS,NP,PP,PRN,PRT,RB,S,SBAR,SQ,UCP,VB,VBD,VBG,VBN,VBP,VBZ,VP,WHNP,X,``,null}
@attribute outcome {Comparison,Comparison.Concession,Comparison.Contrast,Contingency,Contingency.Cause.Reason,Contingency.Cause.Result,Contingency.Condition,Expansion,Expansion.Alternative,'Expansion.Alternative.Chosen alternative',Expansion.Conjunction,Expansion.Exception,Expansion.Instantiation,Expansion.Restatement,Temporal,Temporal.Asynchronous,Temporal.Asynchronous.Precedence,Temporal.Asynchronous.Succession,Temporal.Synchrony}

@data
{0 and,1 true,2 SBAR,3 IN,4 PP,5 null,6 Expansion.Conjunction}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Contingency.Cause.Reason}
{0 although,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 however,1 true,2 ADVP,3 ',',4 S,5 ',',6 Comparison.Contrast}
{0 after,1 false,2 PP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Succession}
{0 when,1 true,2 WHADVP,3 null,4 SBAR,5 S,6 Temporal.Asynchronous.Precedence}
{0 then,1 true,2 ADVP,3 null,4 VP,5 VBD,6 Temporal.Asynchronous.Precedence}
{0 yet,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 or,1 false,2 SBARQ,3 null,4 ROOT,5 null,6 Expansion.Alternative}
{0 before,1 false,2 SBAR,3 null,4 S,5 ',',6 Temporal.Asynchronous.Precedence}
{0 yet,1 false,2 ADVP,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 when,1 false,2 WHADVP,3 null,4 SBAR,5 S,6 Contingency.Condition}
{0 'in turn',1 false,2 PP,3 ',',4 PRN,5 ',',6 Temporal.Asynchronous.Precedence}
{0 'for example',1 false,2 PP,3 null,4 S,5 ',',6 Expansion.Instantiation}
{0 when,1 false,2 WHADVP,3 null,4 SBAR,5 S,6 Contingency.Condition}
{0 if,1 true,2 SBAR,3 null,4 VP,5 null,6 Contingency.Condition}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 S,5 CC,6 Comparison.Contrast}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 then,1 true,2 ADVP,3 NP,4 S,5 VP,6 Temporal.Asynchronous.Precedence}
{0 because,1 false,2 SBAR,3 ``,4 S,5 ',',6 Contingency.Cause.Reason}
{0 after,1 true,2 SBAR,3 PP,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 while,1 true,2 SBAR,3 S,4 VP,5 null,6 Temporal.Synchrony}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 while,1 true,2 SBAR,3 S,4 VP,5 null,6 Expansion.Conjunction}
{0 because,1 true,2 SBAR,3 PP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 as,1 true,2 SBAR,3 PP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 if,1 true,2 SBAR,3 ',',4 S,5 ',',6 Contingency.Condition}
{0 if,1 true,2 SBAR,3 S,4 VP,5 null,6 Contingency.Condition}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 :,4 S,5 .,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Contingency.Cause.Result}
{0 after,1 true,2 PP,3 NP,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 then,1 true,2 ADVP,3 NP,4 S,5 VP,6 Contingency.Cause.Result}
{0 as,1 true,2 SBAR,3 PP,4 VP,5 null,6 Temporal.Synchrony}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 before,1 true,2 SBAR,3 PRN,4 VP,5 null,6 Temporal.Asynchronous.Precedence}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 and,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 'for instance',1 false,2 PP,3 ',',4 S,5 ',',6 Expansion.Instantiation}
{0 'even before',1 false,2 PP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Precedence}
{0 as,1 true,2 SBAR,3 NP,4 VP,5 null,6 Temporal.Synchrony}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 'for example',1 false,2 PP,3 ',',4 S,5 ',',6 Expansion.Instantiation}
{0 and,1 true,2 S,3 null,4 SBAR,5 null,6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 however,1 true,2 ADVP,3 ',',4 S,5 ',',6 Comparison.Contrast}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 although,1 true,2 SBAR,3 '\'\'',4 NP,5 null,6 Comparison.Contrast}
{0 as,1 true,2 SBAR,3 NP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 'for example',1 false,2 PP,3 ',',4 S,5 ',',6 Expansion.Instantiation}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Contingency.Cause.Reason}
{0 'on the other hand',1 false,2 PP,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 'if conservatives don\'t support an increase in the imf\'s capital, then',1 false,2 S,3 null,4 ROOT,5 null,6 Contingency.Condition}
{0 while,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 and,1 true,2 SBAR,3 :,4 VP,5 null,6 Expansion.Conjunction}
{0 because,1 false,2 SBAR,3 null,4 S,5 ',',6 Contingency.Cause.Reason}
{0 while,1 true,2 SBAR,3 NP,4 VP,5 null,6 Temporal.Synchrony}
{0 while,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Temporal.Synchrony}
{0 furthermore,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 while,1 true,2 SBAR,3 NP,4 VP,5 null,6 Expansion.Conjunction}
{0 also,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 'neither man admitted, nor',1 false,2 VP,3 NP,4 S,5 .,6 Expansion.Alternative}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 VBZ,4 VP,5 VP,6 Expansion.Conjunction}
{0 while,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Contrast}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 because,1 true,2 SBAR,3 ADJP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 SBAR,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 after,1 true,2 SBAR,3 PP,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 later,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Precedence}
{0 however,1 true,2 ADVP,3 ',',4 S,5 ',',6 Comparison.Contrast}
{0 after,1 true,2 SBAR,3 ',',4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 after,1 false,2 SBAR,3 null,4 S,5 ',',6 Temporal.Asynchronous.Succession}
{0 however,1 true,2 ADVP,3 ',',4 VP,5 ',',6 Comparison.Contrast}
{0 'in addition',1 false,2 PP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 because,1 true,2 SBAR,3 NP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 and,1 true,2 S,3 ``,4 VP,5 null,6 Expansion.Conjunction}
{0 still,1 true,2 ADVP,3 VBZ,4 VP,5 NP,6 Comparison.Contrast}
{0 and,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 nevertheless,1 true,2 ADVP,3 null,4 VP,5 VBZ,6 Comparison.Concession}
{0 later,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Precedence}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 since,1 true,2 SBAR,3 '\'\'',4 VP,5 null,6 Contingency.Cause.Reason}
{0 instead,1 true,2 ADVP,3 null,4 S,5 NP,6 'Expansion.Alternative.Chosen alternative'}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 'for example',1 false,2 PP,3 null,4 S,5 ',',6 Expansion.Instantiation}
{0 and,1 true,2 VP,3 null,4 S,5 null,6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 because,1 true,2 SBAR,3 NP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 while,1 true,2 SBAR,3 NP,4 VP,5 null,6 Temporal.Synchrony}
{0 after,1 true,2 SBAR,3 NP,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 nonetheless,1 true,2 ADVP,3 VBP,4 VP,5 null,6 Comparison.Concession}
{0 however,1 false,2 ADVP,3 null,4 S,5 ',',6 Comparison.Concession}
{0 until,1 true,2 SBAR,3 VBN,4 VP,5 null,6 Temporal.Asynchronous.Precedence}
{0 also,1 true,2 ADVP,3 VBZ,4 VP,5 VP,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 VBD,4 VP,5 NP,6 Expansion.Conjunction}
{0 and,1 true,2 VP,3 NP,4 S,5 null,6 Expansion.Conjunction}
{0 however,1 true,2 ADVP,3 ',',4 VP,5 ',',6 Comparison.Contrast}
{0 however,1 true,2 ADVP,3 ',',4 S,5 ',',6 Comparison.Contrast}
{0 'as a result',1 false,2 PP,3 NP,4 VP,5 null,6 Contingency.Cause.Result}
{0 and,1 true,2 S,3 null,4 SINV,5 ',',6 Contingency.Cause.Result}
{0 and,1 true,2 S,3 null,4 SINV,5 ',',6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 MD,4 VP,5 VP,6 Expansion.Conjunction}
{0 however,1 false,2 ADVP,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 while,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 VBZ,4 VP,5 VP,6 Expansion.Conjunction}
{0 before,1 true,2 PP,3 VBD,4 VP,5 null,6 Temporal.Asynchronous.Precedence}
{0 if,1 true,2 SBAR,3 NP,4 VP,5 null,6 Contingency.Condition}
{0 'even though',1 false,2 SBAR,3 PP,4 VP,5 null,6 Comparison.Concession}
{0 and,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 then,1 true,2 VP,3 NP,4 S,5 .,6 Temporal.Asynchronous.Precedence}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 then,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Precedence}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 when,1 true,2 WHADVP,3 null,4 SBAR,5 S,6 Temporal.Asynchronous.Succession}
{0 after,1 true,2 SBAR,3 PP,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion}
{0 though,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Concession}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 until,1 true,2 SBAR,3 PP,4 VP,5 null,6 Temporal.Asynchronous.Precedence}
{0 and,1 true,2 S,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 although,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Contrast}
{0 as,1 true,2 SBAR,3 NP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 previously,1 true,2 ADVP,3 NP,4 S,5 VP,6 Temporal.Asynchronous.Succession}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Temporal.Synchrony}
{0 because,1 true,2 SBAR,3 PP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 as,1 true,2 SBAR,3 NP,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Contingency.Cause.Reason}
{0 'as a result',1 false,2 PP,3 null,4 S,5 ',',6 Contingency.Cause.Result}
{0 while,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Contrast}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 while,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Contingency.Cause.Reason}
{0 while,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Contrast}
{0 while,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Contrast}
{0 as,1 true,2 SBAR,3 ',',4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 because,1 true,2 SBAR,3 S,4 VP,5 null,6 Contingency.Cause.Reason}
{0 after,1 true,2 PP,3 ',',4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 however,1 false,2 ADVP,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 until,1 true,2 SBAR,3 ',',4 VP,5 null,6 Temporal.Asynchronous.Precedence}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 thus,1 true,2 ADVP,3 CC,4 VP,5 VP,6 Contingency.Cause.Result}
{0 because,1 true,2 SBAR,3 NP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 but,1 false,2 S,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 or,1 true,2 SBAR,3 ',',4 ADJP,5 null,6 Expansion.Alternative}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 while,1 true,2 SBAR,3 NP,4 VP,5 ',',6 Comparison.Contrast}
{0 'for example',1 false,2 PP,3 ',',4 S,5 ',',6 Expansion.Instantiation}
{0 and,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 if,1 true,2 SBAR,3 null,4 X,5 ',',6 Contingency.Condition}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 although,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Concession}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 VBP,4 VP,5 VP,6 Expansion.Conjunction}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 MD,4 VP,5 VP,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 because,1 true,2 SBAR,3 ',',4 VP,5 null,6 Contingency.Cause.Reason}
{0 and,1 true,2 S,3 ``,4 S,5 ',',6 Expansion.Conjunction}
{0 and,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 if,1 false,2 SBAR,3 null,4 S,5 ',',6 Contingency.Condition}
{0 after,1 false,2 PP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Succession}
{0 before,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Asynchronous.Succession}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 because,1 true,2 SBAR,3 ADJP,4 VP,5 null,6 Contingency.Cause.Reason}
{0 but,1 true,2 S,3 null,4 S,5 :,6 Expansion.Conjunction}
{0 but,1 true,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 and,1 true,2 S,3 :,4 S,5 .,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 or,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Alternative}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 and,1 true,2 SBAR,3 VBD,4 VP,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 but,1 true,2 VP,3 NP,4 S,5 .,6 Comparison.Contrast}
{0 'as long as',1 false,2 ADVP,3 ``,4 VP,5 null,6 Temporal.Synchrony}
{0 while,1 true,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 also,1 true,2 ADVP,3 null,4 S,5 VP,6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 if,1 true,2 SBAR,3 VBN,4 VP,5 null,6 Contingency.Condition}
{0 and,1 true,2 VP,3 NP,4 S,5 .,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 although,1 true,2 SBAR,3 ',',4 VP,5 null,6 Comparison.Contrast}
{0 if,1 true,2 SBAR,3 PP,4 VP,5 null,6 Contingency.Condition}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 and,1 true,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 'even as',1 false,2 SBAR,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Concession}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 or,1 true,2 SBAR,3 VBG,4 VP,5 null,6 Expansion.Alternative}
{0 'just before',1 false,2 SBAR,3 ',',4 S,5 ',',6 Temporal.Asynchronous.Precedence}
{0 but,1 true,2 SBAR,3 VBN,4 VP,5 null,6 Comparison.Contrast}
{0 as,1 true,2 SBAR,3 NP,4 NP,5 null,6 Temporal.Synchrony}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 after,1 true,2 SBAR,3 VBD,4 VP,5 null,6 Temporal.Asynchronous.Succession}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Temporal.Synchrony}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Concession}
{0 and,1 true,2 SBAR,3 VB,4 VP,5 null,6 Expansion.Conjunction}
{0 also,1 true,2 ADVP,3 NP,4 S,5 VP,6 Expansion.Conjunction}
{0 meanwhile,1 false,2 ADVP,3 null,4 S,5 ',',6 Expansion.Conjunction}
{0 and,1 false,2 S,3 null,4 ROOT,5 null,6 Expansion.Conjunction}
{0 although,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 although,1 false,2 SBAR,3 null,4 S,5 ',',6 Comparison.Contrast}
{0 'for example',1 false,2 PP,3 ',',4 S,5 ',',6 Expansion.Instantiation}
{0 but,1 false,2 S,3 null,4 ROOT,5 null,6 Comparison.Contrast}
{0 instead,1 true,2 ADVP,3 VBG,4 VP,5 PP,6 'Expansion.Alternative.Chosen alternative'}
